期号,日期,平一,生肖1,平二,生肖2,平三,生肖3,平四,生肖4,平五,生肖5,平六,生肖6,特码,特码生肖
086,2026-08-08,3,龙,7,鼠,32,猪,31,鼠,49,马,1,马,47,猴
085,2026-08-06,42,牛,24,羊,29,虎,48,羊,13,马,30,牛,3,龙
084,2026-08-04,31,鼠,16,兔,4,兔,11,猴,13,马,33,狗,38,蛇
083,2026-08-01,37,马,7,鼠,16,兔,1,马,32,猪,22,鸡,23,猴
082,2026-07-30,14,蛇,17,虎,1,马,2,蛇,35,猴,23,猴,48,羊
081,2026-07-28,30,牛,21,狗,20,猪,7,鼠,4,兔,14,蛇,34,鸡
080,2026-07-25,12,羊,26,蛇,7,鼠,5,虎,31,鼠,42,牛,11,猴
079,2026-07-23,4,兔,32,猪,7,鼠,15,龙,46,鸡,29,虎,23,猴
078,2026-07-21,6,牛,47,猴,45,狗,1,马,41,虎,37,马,8,猪
077,2026-07-16,18,牛,30,牛,26,蛇,21,狗,44,猪,32,猪,27,龙
076,2026-07-14,31,鼠,44,猪,27,龙,10,鸡,16,兔,19,鼠,17,虎
075,2026-07-11,5,虎,2,蛇,7,鼠,11,猴,41,虎,46,鸡,43,鼠
074,2026-07-09,21,狗,7,鼠,38,蛇,18,牛,1,马,33,狗,28,兔
073,2026-07-07,37,马,48,羊,34,鸡,49,马,5,虎,43,鼠,27,龙
072,2026-07-05,14,蛇,3,龙,19,鼠,38,蛇,20,猪,31,鼠,44,猪
071,2026-07-02,34,鸡,46,鸡,17,虎,5,虎,31,鼠,26,蛇,43,鼠
070,2026-06-30,18,牛,12,羊,22,鸡,14,蛇,17,虎,40,兔,13,马
069,2026-06-28,37,马,32,猪,7,鼠,26,蛇,5,虎,40,兔,35,猴
068,2026-06-25,28,兔,12,羊,20,猪,30,牛,16,兔,19,鼠,29,虎
067,2026-06-23,39,龙,41,虎,15,龙,34,鸡,25,马,2,蛇,10,鸡
066,2026-06-20,16,兔,10,鸡,7,鼠,41,虎,15,龙,5,虎,46,鸡
065,2026-06-18,26,蛇,20,猪,47,猴,31,鼠,34,鸡,6,牛,24,羊
064,2026-06-14,32,猪,10,鸡,29,虎,17,虎,12,羊,35,猴,1,马
063,2026-06-11,6,牛,29,虎,28,兔,10,鸡,3,龙,9,狗,27,龙
062,2026-06-09,40,兔,8,猪,11,猴,26,蛇,14,蛇,33,狗,30,牛
061,2026-06-06,19,鼠,34,鸡,5,虎,20,猪,12,羊,36,羊,46,鸡
060,2026-06-04,4,兔,43,鼠,47,猴,15,龙,7,鼠,37,马,44,猪
059,2026-06-02,14,蛇,16,兔,45,狗,9,狗,35,猴,37,马,20,猪
